criterion,n,rate
<0.10,4520,0.8373471656168952
<0.25,4773,0.8842163764357169
<0.50,5088,0.9425713227121156
$\geq$0.75,120,0.02223045572434235
$\geq$0.90,25,0.004631344942571323
