stratum,N_pairs,N_images,N_patients,selected_diff,selected_low,selected_high,oracle_diff,oracle_low,oracle_high,oracle50,diff_idx,gap20
<0.10,4520,115,81,0.7678931743001706,0.7343635722923657,0.7995346813627635,0.7936072007014205,0.763345002339596,0.8218148671991252,0.00022123893805309734,0.4557522123893805,0.0011061946902654867
0.10–0.25,253,19,18,0.7658015730551205,0.6413732349873335,0.8289527394262386,0.7866098342555256,0.6998075364912507,0.8249726263817188,0.0,0.6798418972332015,0.007905138339920948
0.25–0.50,315,30,26,0.6922504669799151,0.6379248561813116,0.7560440527673341,0.5402555859624858,0.4041807232271259,0.6658325619162999,0.19047619047619047,0.4984126984126984,0.3492063492063492
0.50–0.75,190,23,20,0.7630713265381802,0.6283314548111496,0.8503793393358002,0.24290642499460868,0.1258101888185085,0.458423803609406,0.631578947368421,0.6736842105263158,0.7631578947368421
0.75–0.90,95,12,12,0.6928704386612483,0.5751188640487945,0.8283066398259168,0.23961952583587204,0.1047263300695611,0.394872037873831,0.5473684210526316,0.7157894736842105,0.8421052631578947
≥0.90,25,6,6,0.6797010936244567,0.5824379962132147,0.8035386864291582,0.13028224211083467,0.0412882589130596,0.3308848744050724,0.88,0.96,1.0
