condition,mean_abs_delta,median_abs_delta,ci_low,ci_high,gt_010,gt_020,gt_050
H1,0.02029625489549853,0.00041773747956602714,0.0142459439261585,0.0272751619932745,0.041666666666666664,0.025,0.006666666666666667
H2,0.029997069468885803,0.0017017858738155311,0.0228901586124801,0.0379959522597596,0.07166666666666667,0.03833333333333333,0.011666666666666667
L3,0.033595670824982396,0.002252192472514543,0.0254569958347549,0.0425953120746867,0.075,0.03833333333333333,0.016666666666666666
L4,0.08011079529930272,0.009515132690111727,0.0668145505150801,0.093858698302378,0.19166666666666668,0.11833333333333333,0.041666666666666664
L5,0.07243626524738853,0.00881514639678982,0.0599288362647714,0.0857836936352792,0.17333333333333334,0.10166666666666667,0.041666666666666664
