regime,n,best_condition,best_fixed,oracle,advantage
Breast97 P20,97,P13,0.4996685431090214,0.603951312529081,0.10428276942005948
Brain400 P20,400,P14,0.4760140243472509,0.5641465091707494,0.08813248482349845
Brain600 H0-L5,600,H0,0.7538302084084627,0.7928471271262357,0.03901691871777306
