section,metric,computed,expected,abs_diff,status
Brain600,H2 |dDice| > 0.5,0.011666666666666667,0.0116666666666666,6.765421556309548e-17,PASS
Brain600,L3 mean abs dDice,0.033595670824982396,0.0335956708249823,9.71445146547012e-17,PASS
Brain600,L3 mean signed dDice,-0.012857630766527198,-0.0128576307665271,9.71445146547012e-17,PASS
Brain600,L3 |dDice| > 0.1,0.075,0.075,0.0,PASS
Brain600,L3 |dDice| > 0.2,0.03833333333333333,0.0383333333333333,2.7755575615628914e-17,PASS
Brain600,L3 |dDice| > 0.5,0.016666666666666666,0.0166666666666666,6.591949208711867e-17,PASS
Brain600,L4 mean abs dDice,0.08011079529930272,0.0801107952993027,1.3877787807814457e-17,PASS
Brain600,L4 mean signed dDice,-0.030899458884001613,-0.0308994588840016,1.3877787807814457e-17,PASS
Brain600,L4 |dDice| > 0.1,0.19166666666666668,0.1916666666666666,8.326672684688674e-17,PASS
Brain600,L4 |dDice| > 0.2,0.11833333333333333,0.1183333333333333,2.7755575615628914e-17,PASS
Brain600,L4 |dDice| > 0.5,0.041666666666666664,0.0416666666666666,6.245004513516506e-17,PASS
Brain600,L5 mean abs dDice,0.07243626524738853,0.0724362652473885,2.7755575615628914e-17,PASS
Brain600,L5 mean signed dDice,-0.03877681466269454,-0.0387768146626945,3.469446951953614e-17,PASS
Brain600,L5 |dDice| > 0.1,0.17333333333333334,0.1733333333333333,2.7755575615628914e-17,PASS
Brain600,L5 |dDice| > 0.2,0.10166666666666667,0.1016666666666666,6.938893903907228e-17,PASS
Brain600,L5 |dDice| > 0.5,0.041666666666666664,0.0416666666666666,6.245004513516506e-17,PASS
Brain600,mean_range_H0_L5 CI low,0.11623708545331232,0.1162370854533123,2.7755575615628914e-17,PASS
Brain600,mean_range_H0_L5 CI high,0.15026810150843473,0.1502681015084347,2.7755575615628914e-17,PASS
Brain600,oracle_mean_H0_L5 CI low,0.778751760046207,0.778751760046207,0.0,PASS
Brain600,oracle_mean_H0_L5 CI high,0.806525446466093,0.806525446466093,0.0,PASS
Brain600,best_fixed_mean_H0_L5 CI low,0.7376269145256413,0.7376269145256413,0.0,PASS
Brain600,best_fixed_mean_H0_L5 CI high,0.7704813506890118,0.7704813506890118,0.0,PASS
Brain600,oracle_advantage_H0_L5 CI low,0.03022508286043249,0.0302250828604324,9.020562075079397e-17,PASS
Brain600,oracle_advantage_H0_L5 CI high,0.0473721937030366,0.0473721937030366,0.0,PASS
Brain600,H1 mean abs CI low,0.014245943926158513,0.0142459439261585,1.3877787807814457e-17,PASS
Brain600,H1 mean abs CI high,0.027275161993274587,0.0272751619932745,8.673617379884035e-17,PASS
Brain600,H2 mean abs CI low,0.022890158612480102,0.0228901586124801,3.469446951953614e-18,PASS
Brain600,H2 mean abs CI high,0.03799595225975965,0.0379959522597596,4.85722573273506e-17,PASS
Brain600,L3 mean abs CI low,0.02545699583475498,0.0254569958347549,7.979727989493313e-17,PASS
Brain600,L3 mean abs CI high,0.04259531207468672,0.0425953120746867,2.0816681711721685e-17,PASS
Brain600,L4 mean abs CI low,0.06681455051508013,0.0668145505150801,2.7755575615628914e-17,PASS
Brain600,L4 mean abs CI high,0.09385869830237803,0.093858698302378,2.7755575615628914e-17,PASS
Brain600,L5 mean abs CI low,0.05992883626477147,0.0599288362647714,6.938893903907228e-17,PASS
Brain600,L5 mean abs CI high,0.08578369363527924,0.0857836936352792,4.163336342344337e-17,PASS
Text3DSAM,N,30,30,0.0,PASS
Text3DSAM,P0 mean,0.9143601532149855,0.9143601532149856,1.1102230246251565e-16,PASS
Text3DSAM,P1 mean,0.914254800843331,0.914254800843331,0.0,PASS
Text3DSAM,P2 mean,0.91443153637837,0.91443153637837,0.0,PASS
Text3DSAM,P3 mean,0.9143140239114884,0.9143140239114884,0.0,PASS
Text3DSAM,mean range,0.0003896201770475671,0.0003896201770475,6.711211447685272e-17,PASS
Text3DSAM,max range,0.001216739856033433,0.0012167398560333,1.3314002678121994e-16,PASS
Text3DSAM,fraction range > .01,0.0,0.0,0.0,PASS
Text3DSAM,oracle advantage,9.30098009197522e-05,9.300980091986322e-05,1.1102230246251565e-16,PASS
