filename,dice,iou,gt_pixels,pred_pixels
100.png,0.8378088077336198,0.7208872458410351,2443,3143
1004.png,0.7432183302607321,0.5913663034367141,1457,2340
1007.png,0.6557842441447835,0.48785638859556496,1399,2828
1008.png,0.7329725695092368,0.5784977908689249,2065,3294
1011.png,0.5112868994790661,0.34344219803006737,1337,3846
1015.png,0.8505621058404168,0.7399809160305344,1878,1769
1016.png,0.5797453001819285,0.408198121263877,1619,3328
102.png,0.8760962446593209,0.7795118047218887,4753,4141
1023.png,0.9470722229666354,0.8994655128531432,3635,3828
1027.png,0.7182587666263603,0.560377358490566,2091,3698
1029.png,0.4676258992805755,0.3051643192488263,455,1491
1031.png,0.8929537140130428,0.8066091954022988,2834,3453
1035.png,0.8906018381262971,0.8027792624265099,3632,3114
1037.png,0.7256165296600755,0.5693863319386332,5707,3295
1039.png,0.7779960707269156,0.6366559485530546,4626,3009
1040.png,0.706026683024076,0.5456269258118037,4153,2368
1041.png,0.9296274393849793,0.8685082872928177,1718,1664
1047.png,0.7210327455919395,0.5637616937469226,4005,5523
1053.png,0.8501133052767886,0.7393018018018018,3494,2684
1054.png,0.7921168229846848,0.6557892667584038,3366,5057
1057.png,0.58298755186722,0.41142020497803805,3567,4145
1060.png,0.858248220365212,0.7516942260775278,3619,2843
1061.png,0.7391304347826086,0.5862068965517241,1709,2799
1069.png,0.6019019205668469,0.4305148039477194,1614,3749
1072.png,0.4184884447220487,0.2646129541864139,341,1260
1073.png,0.6603235014272122,0.4928977272727273,362,689
1074.png,0.8664969079665333,0.7644415917843389,1496,1253
1078.png,0.6664430655710213,0.49974849094567403,3952,2011
108.png,0.9386987589319293,0.884479092841956,8352,7602
1084.png,0.11862990810359231,0.0630550621669627,1331,1063
1085.png,0.8062709966405375,0.6754221388367729,1851,2614
1089.png,0.7897495631916133,0.6525505293551492,4128,2740
1092.png,0.9084222140492828,0.8322102425876011,2820,2618
1093.png,0.8342022940563086,0.7155635062611807,2022,1814
1096.png,0.7353426919900908,0.5814560888018283,1954,2890
1103.png,0.6225552915371961,0.45196390658174096,3576,1895
1107.png,0.48866964698628024,0.3233374133006936,1653,4834
1111.png,0.8713924050632912,0.7720951099147599,2171,1779
1113.png,0.5285123966942149,0.35916877281662457,1724,3116
1114.png,0.7465602641717116,0.595609220636663,2713,4555
1118.png,0.8529054218332117,0.7435353963543875,1794,2319
1120.png,0.7329310892346776,0.5784461152882205,2324,3974
1123.png,0.8800515907136716,0.7857965451055662,2131,2521
