filename,H0,H1,H2,range3,median3,oracle3,unique_prompt_texts,H0_H1_abs,H0_H2_abs,H1_H2_abs,box_H0_H1,box_H0_H2,box_H1_H2
100.png,0.8378088077336198,0.8394396551724138,0.8388600107546155,0.0016308474387940475,0.8388600107546155,0.8394396551724138,3,0.0016308474387940475,0.0010512030209957057,0.0005796444177983417,0.9767441860465116,0.9234268385140257,0.9441860465116279
1004.png,0.7432183302607321,0.7382445141065831,0.7382445141065831,0.004973816154149047,0.7382445141065831,0.7432183302607321,3,0.004973816154149047,0.004973816154149047,0.0,0.9375,0.9375,1.0
1007.png,0.6557842441447835,0.609268614100593,0.6103038309114928,0.04651563004419057,0.6103038309114928,0.6557842441447835,3,0.04651563004419057,0.04548041323329077,0.0010352168108997972,0.9481429572529783,0.9256661991584852,0.975609756097561
1008.png,0.7329725695092368,0.7317528467425798,0.514760551060573,0.2182120184486639,0.7317528467425798,0.7329725695092368,3,0.0012197227666570498,0.2182120184486639,0.21699229568200684,0.96875,0.9375,0.96875
1011.png,0.5112868994790661,0.5112868994790661,0.5112868994790661,0.0,0.5112868994790661,0.5112868994790661,2,0.0,0.0,0.0,1.0,1.0,1.0
1015.png,0.8505621058404168,0.8499724214009928,0.8505621058404168,0.0005896844394239764,0.8505621058404168,0.8505621058404168,3,0.0005896844394239764,0.0,0.0005896844394239764,0.9545454545454546,1.0,0.9545454545454546
1016.png,0.5797453001819285,0.5819506272764063,0.5797453001819285,0.002205327094477849,0.5797453001819285,0.5819506272764063,3,0.002205327094477849,0.0,0.002205327094477849,0.9795918367346939,1.0,0.9795918367346939
102.png,0.8760962446593209,0.8760962446593209,0.8445217391304348,0.03157450552888608,0.8760962446593209,0.8760962446593209,3,0.0,0.03157450552888608,0.03157450552888608,1.0,0.868421052631579,0.868421052631579
1023.png,0.9470722229666354,0.9466077880369329,0.9466077880369329,0.0004644349297024952,0.9466077880369329,0.9470722229666354,3,0.0004644349297024952,0.0004644349297024952,0.0,0.9777777777777777,0.9777777777777777,1.0
1027.png,0.7182587666263603,0.7112555593568252,0.7204990469589326,0.00924348760210747,0.7182587666263603,0.7204990469589326,3,0.007003207269535183,0.0022402803325722864,0.00924348760210747,0.9767441860465116,0.9761904761904762,0.9534883720930233
1029.png,0.4676258992805755,0.4676258992805755,0.4676258992805755,0.0,0.4676258992805755,0.4676258992805755,3,0.0,0.0,0.0,1.0,1.0,1.0
1031.png,0.8929537140130428,0.8965186841264772,0.8965186841264772,0.0035649701134343736,0.8965186841264772,0.8965186841264772,2,0.0035649701134343736,0.0035649701134343736,0.0,0.967741935483871,0.967741935483871,1.0
1035.png,0.8906018381262971,0.7311342069588793,0.8467792370231395,0.1594676311674178,0.8467792370231395,0.8906018381262971,3,0.1594676311674178,0.04382260110315761,0.11564503006426019,0.9487179487179487,0.907469342251951,0.9565217391304348
1037.png,0.7256165296600755,0.7243604004449388,0.7262631871182677,0.0019027866733288823,0.7256165296600755,0.7262631871182677,3,0.0012561292151367365,0.0006466574581921458,0.0019027866733288823,0.9565217391304348,0.9483344663494222,0.9061862678450034
1039.png,0.7779960707269156,0.7779960707269156,0.7696162468679942,0.008379823858921331,0.7779960707269156,0.7779960707269156,3,0.0,0.008379823858921331,0.008379823858921331,1.0,0.9438202247191011,0.9438202247191011
1040.png,0.706026683024076,0.6992446431324186,0.6992446431324186,0.0067820398916573765,0.6992446431324186,0.706026683024076,2,0.0067820398916573765,0.0067820398916573765,0.0,0.8878048780487805,0.8878048780487805,1.0
1041.png,0.9296274393849793,0.930576070901034,0.9326668626874449,0.003039423302465649,0.930576070901034,0.9326668626874449,3,0.0009486315160547321,0.003039423302465649,0.002090791786410917,0.9527696793002915,0.8636363636363636,0.8662190082644629
1047.png,0.7210327455919395,0.7361156044430066,0.7101509199917304,0.0259646844512762,0.7210327455919395,0.7361156044430066,3,0.015082858851067082,0.010881825600209116,0.0259646844512762,0.9824561403508771,0.9448727833461835,0.9286540686463556
1053.png,0.8501133052767886,0.8495546558704453,0.8495546558704453,0.0005586494063433145,0.8495546558704453,0.8501133052767886,2,0.0005586494063433145,0.0005586494063433145,0.0,0.9782608695652174,0.9782608695652174,1.0
1054.png,0.7921168229846848,0.7900217970452894,0.7926389222997354,0.0026171252544460177,0.7921168229846848,0.7926389222997354,3,0.0020950259393953674,0.0005220993150506503,0.0026171252544460177,0.9076363636363637,0.9443636363636364,0.961108971890643
1057.png,0.58298755186722,0.34239462431276724,0.5320902580732334,0.24059292755445272,0.5320902580732334,0.58298755186722,3,0.24059292755445272,0.05089729379398655,0.18969563376046616,0.918918918918919,0.9714285714285714,0.9444444444444444
1060.png,0.858248220365212,0.858248220365212,0.858248220365212,0.0,0.858248220365212,0.858248220365212,2,0.0,0.0,0.0,1.0,1.0,1.0
1061.png,0.7391304347826086,0.7457021656619781,0.7457021656619781,0.006571730879369464,0.7457021656619781,0.7457021656619781,3,0.006571730879369464,0.006571730879369464,0.0,0.9655172413793104,0.9655172413793104,1.0
1069.png,0.6019019205668469,0.6042680643953575,0.6042680643953575,0.002366143828510636,0.6042680643953575,0.6042680643953575,2,0.002366143828510636,0.002366143828510636,0.0,0.9836065573770492,0.9836065573770492,1.0
1072.png,0.4184884447220487,0.4184884447220487,0.4190715181932246,0.0005830734711758656,0.4184884447220487,0.4190715181932246,3,0.0,0.0005830734711758656,0.0005830734711758656,1.0,0.9333333333333333,0.9333333333333333
1073.png,0.6603235014272122,0.6596958174904943,0.6596958174904943,0.0006276839367178599,0.6596958174904943,0.6603235014272122,2,0.0006276839367178599,0.0006276839367178599,0.0,0.9767441860465116,0.9767441860465116,1.0
1074.png,0.8664969079665333,0.8664969079665333,0.8622710622710623,0.00422584569547102,0.8664969079665333,0.8664969079665333,3,0.0,0.00422584569547102,0.00422584569547102,1.0,0.821353065539112,0.821353065539112
1078.png,0.6664430655710213,0.6664430655710213,0.6664430655710213,0.0,0.6664430655710213,0.6664430655710213,2,0.0,0.0,0.0,1.0,1.0,1.0
108.png,0.9386987589319293,0.921045918367347,0.921045918367347,0.017652840564582384,0.921045918367347,0.9386987589319293,2,0.017652840564582384,0.017652840564582384,0.0,0.9208981001727116,0.9208981001727116,1.0
1084.png,0.11862990810359231,0.11862990810359231,0.11082910321489002,0.007800804888702287,0.11862990810359231,0.11862990810359231,3,0.0,0.007800804888702287,0.007800804888702287,1.0,0.9655172413793104,0.9655172413793104
1085.png,0.8062709966405375,0.6569236390208257,0.5184864240323512,0.28778457260818624,0.6569236390208257,0.8062709966405375,3,0.14934735761971174,0.28778457260818624,0.1384372149884745,0.9772727272727273,0.9555555555555556,0.9777777777777777
1089.png,0.7897495631916133,0.7897495631916133,0.7897495631916133,0.0,0.7897495631916133,0.7897495631916133,2,0.0,0.0,0.0,1.0,1.0,1.0
1092.png,0.9084222140492828,0.9081200515558829,0.9081200515558829,0.0003021624933998712,0.9081200515558829,0.9084222140492828,2,0.0003021624933998712,0.0003021624933998712,0.0,0.9560276679841897,0.9560276679841897,1.0
1093.png,0.8342022940563086,0.8335517693315858,0.8331584470094439,0.0010438470468647765,0.8335517693315858,0.8342022940563086,3,0.000650524724722823,0.0010438470468647765,0.0003933223221419535,0.8806306306306306,0.8547297297297297,0.9705882352941176
1096.png,0.7353426919900908,0.729033587471667,0.7360594795539034,0.007025892082236362,0.7353426919900908,0.7360594795539034,3,0.006309104518423814,0.0007167875638125487,0.007025892082236362,0.8027681660899654,0.8823529411764706,0.9098039215686274
1103.png,0.6225552915371961,0.640591204037491,0.6411225040474906,0.018567212510294473,0.640591204037491,0.6411225040474906,3,0.018035912500294904,0.018567212510294473,0.0005313000099995691,0.9418702611625948,0.9209225700164745,0.9772727272727273
1107.png,0.48866964698628024,0.49632525410476935,0.5085668534827862,0.019897206496505948,0.49632525410476935,0.5085668534827862,3,0.007655607118489116,0.019897206496505948,0.012241599378016832,0.9777777777777777,0.9555555555555556,0.9772727272727273
1111.png,0.8713924050632912,0.8713924050632912,0.7944307944307945,0.07696161063249674,0.8713924050632912,0.8713924050632912,3,0.0,0.07696161063249674,0.07696161063249674,1.0,0.90625,0.90625
1113.png,0.5285123966942149,0.5324648035301534,0.5285123966942149,0.003952406835938449,0.5285123966942149,0.5324648035301534,3,0.003952406835938449,0.0,0.003952406835938449,0.9545454545454546,1.0,0.9545454545454546
1114.png,0.7465602641717116,0.7465602641717116,0.7465602641717116,0.0,0.7465602641717116,0.7465602641717116,2,0.0,0.0,0.0,1.0,1.0,1.0
1118.png,0.8529054218332117,0.8528411850412821,0.8523555123846528,0.0005499094485589273,0.8528411850412821,0.8529054218332117,3,6.423679192957277e-05,0.0005499094485589273,0.00048567265662935455,0.9302325581395349,0.9317443120260022,0.9545454545454546
1120.png,0.7329310892346776,0.7328147324972217,0.731043216716796,0.0018878725178816946,0.7328147324972217,0.7329310892346776,3,0.0001163567374559138,0.0018878725178816946,0.0017715157804257808,0.9846153846153847,0.9127011297500855,0.9274221157137966
1123.png,0.8800515907136716,0.8800515907136716,0.8777415852334419,0.0023100054802296377,0.8800515907136716,0.8800515907136716,3,0.0,0.0023100054802296377,0.0023100054802296377,1.0,0.9437689969604863,0.9437689969604863
