reject_fraction,n_rejected,n_retained,coverage,retained_P14_mean_dice,retained_P14_median_dice,retained_P14_failure_rate_lt_.10,retained_catastrophic_rate,fraction_all_P14_failures_captured,fraction_all_catastrophic_slices_captured,rejected_P14_failure_rate_lt_.10,rejected_catastrophic_rate
0.05,14,254,0.9477611940298507,0.48988885098825374,0.6215905257488721,0.33070866141732286,0.32677165354330706,0.0967741935483871,0.06741573033707865,0.6428571428571429,0.42857142857142855
0.1,27,241,0.8992537313432836,0.4990196398597881,0.6332358267168129,0.31950207468879666,0.31950207468879666,0.17204301075268819,0.1348314606741573,0.5925925925925926,0.4444444444444444
0.2,54,214,0.7985074626865671,0.5135521871749015,0.6532411882146325,0.29906542056074764,0.2897196261682243,0.3118279569892473,0.30337078651685395,0.5370370370370371,0.5
0.3,81,187,0.6977611940298507,0.5145143167109044,0.6489888844248025,0.29411764705882354,0.25668449197860965,0.40860215053763443,0.4606741573033708,0.4691358024691358,0.5061728395061729
0.4,108,160,0.5970149253731343,0.5445267836212155,0.6880752731440379,0.2625,0.24375,0.5483870967741935,0.5617977528089888,0.4722222222222222,0.46296296296296297
0.5,134,134,0.5,0.5635863940708042,0.7302598967859257,0.2462686567164179,0.23134328358208955,0.6451612903225806,0.651685393258427,0.44776119402985076,0.43283582089552236
