reject_fraction,n_rejected,n_retained,coverage,retained_P14_mean_dice,retained_P14_median_dice,retained_P14_failure_rate_lt_.10,retained_catastrophic_rate,rejected_P14_failure_rate_lt_.10,rejected_catastrophic_rate
0.05,7,125,0.946969696969697,0.49394222208609867,0.5572117492327926,0.32,0.336,0.7142857142857143,0.14285714285714285
0.1,14,118,0.8939393939393939,0.5084719485735648,0.5883102120057135,0.3050847457627119,0.3220338983050847,0.6428571428571429,0.35714285714285715
0.2,27,105,0.7954545454545454,0.5307159196616248,0.6532223774524691,0.2857142857142857,0.29523809523809524,0.5555555555555556,0.4444444444444444
0.3,40,92,0.696969696969697,0.5554747800046315,0.7202977913441646,0.25,0.29347826086956524,0.55,0.4
0.4,53,79,0.5984848484848485,0.5605600036869621,0.7277537277537277,0.24050632911392406,0.2911392405063291,0.49056603773584906,0.37735849056603776
0.5,66,66,0.5,0.5830769707997747,0.7409168292308346,0.21212121212121213,0.2878787878787879,0.4696969696969697,0.36363636363636365
