auprc,auroc,sensitivity,specificity,flagged_fraction,retained_P14_mean_dice,retained_P14_failure_rate_lt_.10,flagged_P14_failure_rate_lt_.10,flagged_catastrophic_prevalence,retained_catastrophic_prevalence
0.41448800509695244,0.6135265700483092,0.6944444444444444,0.391304347826087,0.638095238095238,0.7244202233054596,0.15789473684210525,0.373134328358209,0.373134328358209,0.2894736842105263
0.43924366931490355,0.6740384615384616,0.8461538461538461,0.3875,0.6890756302521008,0.6772966765092384,0.16216216216216217,0.32926829268292684,0.4024390243902439,0.16216216216216217
0.5768618906752379,0.683119658119658,0.9166666666666666,0.3974358974358974,0.7391304347826086,0.5666303801425833,0.16666666666666666,0.3627450980392157,0.5392156862745098,0.1388888888888889
0.4598876797146132,0.634469696969697,0.7916666666666666,0.4155844155844156,0.664,0.66226374176099,0.19047619047619047,0.3373493975903614,0.4578313253012048,0.23809523809523808
0.3990301000591001,0.6270772238514175,0.8409090909090909,0.3978494623655914,0.6788321167883211,0.6545517175181943,0.1590909090909091,0.41935483870967744,0.3978494623655914,0.1590909090909091
0.3321051638727232,0.5521303258145364,0.7368421052631579,0.2761904761904762,0.7272727272727273,0.487221104177256,0.3076923076923077,0.4807692307692308,0.2692307692307692,0.2564102564102564
0.3228354977284902,0.5942959001782531,0.696969696969697,0.4470588235294118,0.5932203389830508,0.6662682019539162,0.14583333333333334,0.4142857142857143,0.32857142857142857,0.20833333333333334
0.38871776707853467,0.5470555861309851,0.7391304347826086,0.379746835443038,0.664,0.5733465696505226,0.2857142857142857,0.3855421686746988,0.40963855421686746,0.2857142857142857
0.3096187860201826,0.5537725225225225,0.8378378378378378,0.3125,0.7293233082706767,0.6139535356759571,0.19444444444444445,0.5154639175257731,0.31958762886597936,0.16666666666666666
0.41332710269423534,0.5691609977324263,0.7959183673469388,0.32098765432098764,0.7230769230769231,0.6392962758184529,0.2222222222222222,0.3723404255319149,0.4148936170212766,0.2777777777777778
0.2807079136969497,0.521505376344086,0.7058823529411765,0.34408602150537637,0.6692913385826772,0.5982414155050055,0.16666666666666666,0.43529411764705883,0.2823529411764706,0.23809523809523808
0.37129216743695737,0.5672757475083057,0.7380952380952381,0.3372093023255814,0.6875,0.666829356508732,0.2,0.36363636363636365,0.3522727272727273,0.275
0.28666666708909744,0.6121495327102804,0.8333333333333334,0.308411214953271,0.7226277372262774,0.6483526944500605,0.18421052631578946,0.5050505050505051,0.25252525252525254,0.13157894736842105
