filename,risk_region,frozen_risk,comparison,prompt1,prompt2,seed1,seed2,heatmap_mae,heatmap_corr_distance,box_instability
1125_pid-111785_pituitary.png,MIDDLE,0.2578958450429955,seed,P01,P01,12,23,0.0036891759373247623,0.00600860499210254,0.01538461538461533
1125_pid-111785_pituitary.png,MIDDLE,0.2578958450429955,seed,P01,P01,12,34,0.004669048823416233,0.012867728214221219,0.030303030303030276
1125_pid-111785_pituitary.png,MIDDLE,0.2578958450429955,seed,P01,P01,12,45,0.006112528033554554,0.03606527988063901,0.06504578465424693
1125_pid-111785_pituitary.png,MIDDLE,0.2578958450429955,seed,P01,P01,12,56,0.00393888121470809,0.006089216372554884,0.01538461538461533
1125_pid-111785_pituitary.png,MIDDLE,0.2578958450429955,seed,P01,P01,23,34,0.003084413940086961,0.0047282100397100235,0.01538461538461533
1125_pid-111785_pituitary.png,MIDDLE,0.2578958450429955,seed,P01,P01,23,45,0.004637140315026045,0.019966314701495125,0.05065726194293041
1125_pid-111785_pituitary.png,MIDDLE,0.2578958450429955,seed,P01,P01,23,56,0.0027700881473720074,0.003093659544858296,0.0
1125_pid-111785_pituitary.png,MIDDLE,0.2578958450429955,seed,P01,P01,34,45,0.004075784236192703,0.012155821431132141,0.03589743589743588
1125_pid-111785_pituitary.png,MIDDLE,0.2578958450429955,seed,P01,P01,34,56,0.0034666440915316343,0.00846171407414753,0.01538461538461533
1125_pid-111785_pituitary.png,MIDDLE,0.2578958450429955,seed,P01,P01,45,56,0.0046535031870007515,0.023599308103190664,0.05065726194293041
1125_pid-111785_pituitary.png,MIDDLE,0.2578958450429955,seed,P02,P02,12,23,0.0035507192369550467,0.0032407587762466328,0.0
1125_pid-111785_pituitary.png,MIDDLE,0.2578958450429955,seed,P02,P02,12,34,0.004076696932315826,0.0059782779721699875,0.02083333333333337
1125_pid-111785_pituitary.png,MIDDLE,0.2578958450429955,seed,P02,P02,12,45,0.004806890618056059,0.01218329901319759,0.03581895148160208
1125_pid-111785_pituitary.png,MIDDLE,0.2578958450429955,seed,P02,P02,12,56,0.0038016352336853743,0.00452446055690392,0.0
1125_pid-111785_pituitary.png,MIDDLE,0.2578958450429955,seed,P02,P02,23,34,0.00276100798510015,0.0026652928528748676,0.02083333333333337
1125_pid-111785_pituitary.png,MIDDLE,0.2578958450429955,seed,P02,P02,23,45,0.0038479305803775787,0.011257814784680242,0.03581895148160208
1125_pid-111785_pituitary.png,MIDDLE,0.2578958450429955,seed,P02,P02,23,56,0.002769837388768792,0.0023396388050567207,0.0
1125_pid-111785_pituitary.png,MIDDLE,0.2578958450429955,seed,P02,P02,34,45,0.0037136550527065992,0.008487198728558853,0.015625
1125_pid-111785_pituitary.png,MIDDLE,0.2578958450429955,seed,P02,P02,34,56,0.0030065830796957016,0.003842219984671047,0.02083333333333337
1125_pid-111785_pituitary.png,MIDDLE,0.2578958450429955,seed,P02,P02,45,56,0.0036861239932477474,0.008714317695446061,0.03581895148160208
1125_pid-111785_pituitary.png,MIDDLE,0.2578958450429955,seed,P03,P03,12,23,0.003666642354801297,0.004797289846307229,0.0
1125_pid-111785_pituitary.png,MIDDLE,0.2578958450429955,seed,P03,P03,12,34,0.003913562279194593,0.004514270267464204,0.03589743589743588
1125_pid-111785_pituitary.png,MIDDLE,0.2578958450429955,seed,P03,P03,12,45,0.005415926221758127,0.020229400621822657,0.01538461538461533
1125_pid-111785_pituitary.png,MIDDLE,0.2578958450429955,seed,P03,P03,12,56,0.0031842258758842945,0.0020731916211731427,0.02083333333333337
1125_pid-111785_pituitary.png,MIDDLE,0.2578958450429955,seed,P03,P03,23,34,0.0024173303972929716,0.0012234101508324935,0.03589743589743588
1125_pid-111785_pituitary.png,MIDDLE,0.2578958450429955,seed,P03,P03,23,45,0.003920910879969597,0.008127147354433428,0.01538461538461533
1125_pid-111785_pituitary.png,MIDDLE,0.2578958450429955,seed,P03,P03,23,56,0.0029234683606773615,0.003528687338585579,0.02083333333333337
1125_pid-111785_pituitary.png,MIDDLE,0.2578958450429955,seed,P03,P03,34,45,0.004397451411932707,0.010248012210902102,0.02083333333333337
1125_pid-111785_pituitary.png,MIDDLE,0.2578958450429955,seed,P03,P03,34,56,0.0033113514073193073,0.0035716790227959816,0.01538461538461533
1125_pid-111785_pituitary.png,MIDDLE,0.2578958450429955,seed,P03,P03,45,56,0.004516305401921272,0.017423207122038376,0.03558832959281821
1125_pid-111785_pituitary.png,MIDDLE,0.2578958450429955,seed,P04,P04,12,23,0.004340920131653547,0.00616456982871616,0.0
1125_pid-111785_pituitary.png,MIDDLE,0.2578958450429955,seed,P04,P04,12,34,0.00534914480522275,0.008918299283673714,0.0
1125_pid-111785_pituitary.png,MIDDLE,0.2578958450429955,seed,P04,P04,12,45,0.005270833149552345,0.012722085460362464,0.0
1125_pid-111785_pituitary.png,MIDDLE,0.2578958450429955,seed,P04,P04,12,56,0.0053565725684165955,0.005395834965856383,0.0
1125_pid-111785_pituitary.png,MIDDLE,0.2578958450429955,seed,P04,P04,23,34,0.005586126819252968,0.006680723963545465,0.0
1125_pid-111785_pituitary.png,MIDDLE,0.2578958450429955,seed,P04,P04,23,45,0.0038412550929933786,0.0071927448010488115,0.0
1125_pid-111785_pituitary.png,MIDDLE,0.2578958450429955,seed,P04,P04,23,56,0.006156924180686474,0.00644896125714145,0.0
