risk_region,n_cases,frozen_risk_mean,heatmap_mae_seed,heatmap_mae_language,heatmap_corr_distance_seed,heatmap_corr_distance_language,box_instability_seed,box_instability_language
HIGH,4,0.6121782614677871,0.007192308755184057,0.018114788343051545,0.016223638226296536,0.10964592608866876,0.29813967638230404,0.6014456490318706
LOW,4,0.133240225711419,0.003028668829647358,0.009088419444788566,0.004611584124017522,0.04347045900578165,0.05155403911744649,0.14483609200120165
MIDDLE,4,0.3227858962743671,0.004919237597787287,0.014659906828861782,0.00839090204840769,0.07741501220596295,0.13789623489498148,0.31179367213397496
