prompt1,prompt2,text_cosine_similarity,text_cosine_distance,text_euclidean_normalized,heatmap_mae_mean,heatmap_corr_distance_mean,box_instability_mean,n_observations,text_distance_quartile
P01,P02,0.9563780426979065,0.043621957302093506,0.29537054896354675,0.012123989616520654,0.04606886930093136,0.3314951242264922,60,Q1_nearest
P01,P03,0.9284719228744507,0.07152807712554932,0.37822750210762024,0.012728671139726987,0.05478241853714175,0.35133024774335897,60,Q3
P01,P04,0.9317556023597717,0.06824439764022827,0.36944374442100525,0.015920220944099076,0.07870439730718332,0.42223546832304126,60,Q2
P01,P05,0.9735382795333862,0.02646172046661377,0.23005080223083496,0.00906487765799582,0.02636236900704825,0.22645112674329065,60,Q1_nearest
P01,P06,0.940139889717102,0.05986011028289795,0.346005916595459,0.01312757756871477,0.06834958268444834,0.35005196927369125,60,Q2
P01,P07,0.9478774666786194,0.052122533321380615,0.32286977767944336,0.010106935767301619,0.036878573996823476,0.1695012952647155,60,Q2
P01,P08,0.9819416999816895,0.018058300018310547,0.19004371762275696,0.008059830707497842,0.023975162657106197,0.2814119877979552,60,Q1_nearest
P01,P09,0.9398355484008789,0.060164451599121094,0.34688448905944824,0.011844771037188624,0.055922222203800644,0.21769980196335892,60,Q2
P01,P10,0.9203121662139893,0.07968783378601074,0.399218887090683,0.014726401372657422,0.06443161297911003,0.449859465135751,60,Q3
P01,P11,0.965704083442688,0.03429591655731201,0.26190006732940674,0.011412973647626687,0.03985152482590559,0.2796804633095122,60,Q1_nearest
P01,P12,0.9403162002563477,0.059683799743652344,0.3454960584640503,0.013457253831438675,0.07494066093156487,0.2912613580728466,60,Q2
P01,P13,0.9796158075332642,0.02038419246673584,0.20191150903701782,0.007387109694536722,0.016540200421121812,0.20472078243500388,60,Q1_nearest
P01,P14,0.969436764717102,0.03056323528289795,0.24723735451698303,0.0115527769705901,0.03460910102035148,0.2709514208466168,60,Q1_nearest
P01,P15,0.8789675235748291,0.1210324764251709,0.49200090765953064,0.019919139379635405,0.11212235500371633,0.327069144716561,60,Q4_farthest
P01,P16,0.9735496044158936,0.026450395584106445,0.23000138998031616,0.008763673876334553,0.030051994275244482,0.19536295458683373,60,Q1_nearest
P01,P17,0.9703353643417358,0.02966463565826416,0.24357570707798004,0.012486792285926595,0.06501077588147951,0.37584759652063254,60,Q1_nearest
P01,P18,0.9402556419372559,0.05974435806274414,0.3456712067127228,0.013754502326870909,0.07828602743881358,0.30254498068445307,60,Q2
P01,P19,0.9241426587104797,0.07585734128952026,0.3895055651664734,0.014172240137122519,0.07483408359995855,0.3189090579904662,60,Q3
P01,P20,0.985451340675354,0.014548659324645996,0.17057937383651733,0.007161739356039655,0.01994080641732984,0.20679295502234918,60,Q1_nearest
P02,P03,0.9005908966064453,0.09940910339355469,0.44589027762413025,0.01487602146031951,0.09652676965551059,0.40636224437162477,60,Q4_farthest
P02,P04,0.916333794593811,0.08366620540618896,0.40906283259391785,0.01761524766528353,0.10189194126564334,0.5181137174094375,60,Q3
P02,P05,0.9637320041656494,0.036267995834350586,0.2693254053592682,0.01237331886077295,0.05819510957021748,0.4037812868806549,60,Q1_nearest
P02,P06,0.9188294410705566,0.08117055892944336,0.40291592478752136,0.015207923207587203,0.11904412408984782,0.4140920119847949,60,Q3
P02,P07,0.9456000328063965,0.054399967193603516,0.32984843850135803,0.013240708569840791,0.05951252319834426,0.3620245556205305,60,Q2
P02,P08,0.9638774991035461,0.03612250089645386,0.2687843441963196,0.010426226487227972,0.04230895376661189,0.3624319550377068,60,Q1_nearest
P02,P09,0.9029591679573059,0.09704083204269409,0.44054681062698364,0.014090751484036398,0.09858034050643232,0.3455621646964477,60,Q4_farthest
P02,P10,0.9260773062705994,0.07392269372940063,0.3845066428184509,0.012703089189017141,0.0790455290177552,0.5129635780610208,60,Q3
P02,P11,0.9530732035636902,0.046926796436309814,0.3063550591468811,0.011379343907659203,0.06595511726146942,0.4464013783666584,60,Q1_nearest
P02,P12,0.9451150894165039,0.054884910583496094,0.33131518959999084,0.013825279881711998,0.09222140511473689,0.32382275748321804,60,Q2
P02,P13,0.9657061100006104,0.03429388999938965,0.2618926167488098,0.010525871103163765,0.04100225615806529,0.345904217632286,60,Q1_nearest
P02,P14,0.9712396264076233,0.02876037359237671,0.239834725856781,0.010674631572328463,0.043855428409513224,0.31873908336851187,60,Q1_nearest
P02,P15,0.8480924367904663,0.1519075632095337,0.5511942505836487,0.021620052478586584,0.1509141264807799,0.4998610081270451,60,Q4_farthest
P02,P16,0.9743918180465698,0.025608181953430176,0.22631043195724487,0.009513280858906563,0.03732123108560406,0.35327927631710776,60,Q1_nearest
P02,P17,0.931816816329956,0.06818318367004395,0.3692777752876282,0.013907818729057862,0.06916922465388599,0.4038050925138726,60,Q2
P02,P18,0.90141761302948,0.09858238697052002,0.444032222032547,0.015548343467526092,0.13700021180618321,0.4461542103220386,60,Q4_farthest
P02,P19,0.9179306626319885,0.08206933736801147,0.405140221118927,0.015690527033681623,0.0946307237461426,0.41179031695599755,60,Q3
P02,P20,0.9692792296409607,0.030720770359039307,0.24787405133247375,0.009465427743270942,0.0314174935079998,0.24922899085865408,60,Q1_nearest
P03,P04,0.8596580028533936,0.14034199714660645,0.5297960042953491,0.020571668764265822,0.1333217762587726,0.3969869465126566,60,Q4_farthest
P03,P05,0.9145147800445557,0.08548521995544434,0.41348570585250854,0.013784219949350956,0.07487990313772702,0.36423865445020687,60,Q3
P03,P06,0.94752037525177,0.05247962474822998,0.32397401332855225,0.010346264912125919,0.05483555125674308,0.30771163752136405,60,Q2
P03,P07,0.8851491212844849,0.11485087871551514,0.47927209734916687,0.015147717103051595,0.07621453868732547,0.39375671149934405,60,Q4_farthest
P03,P08,0.9286779761314392,0.07132202386856079,0.3776823580265045,0.011086487374268423,0.04256521317620119,0.2588610234041726,60,Q3
P03,P09,0.9392753839492798,0.060724616050720215,0.34849536418914795,0.011322030079706207,0.05714052444560354,0.2752939012231988,60,Q2
P03,P10,0.9176183938980103,0.08238160610198975,0.4059101343154907,0.011877984914462961,0.05889826430906439,0.3895413164294795,60,Q3
P03,P11,0.9066615104675293,0.0933384895324707,0.43206122517585754,0.013390735765763821,0.09110746933837857,0.3790174313204965,60,Q3
P03,P12,0.9298677444458008,0.07013225555419922,0.37451881170272827,0.012502432533074124,0.06215440488768383,0.24404749541585297,60,Q3
P03,P13,0.9244085550308228,0.07559144496917725,0.38882240653038025,0.012893463341363964,0.06151297375383557,0.35759308661173406,60,Q3
P03,P14,0.9406744241714478,0.059325575828552246,0.34445756673812866,0.009964504729335463,0.04524348092091164,0.2550018063240318,60,Q2
P03,P15,0.856167733669281,0.143832266330719,0.5363435745239258,0.021430048191298998,0.1246751683361282,0.46523200855539554,60,Q4_farthest
P03,P16,0.9137579798698425,0.08624202013015747,0.4153119921684265,0.014549536898266473,0.08419428759838485,0.36671519249021156,60,Q3
P03,P17,0.8909308910369873,0.1090691089630127,0.46705254912376404,0.016699290842128248,0.08874851368552918,0.36712407342462655,60,Q4_farthest
P03,P18,0.9445825815200806,0.055417418479919434,0.33291852474212646,0.011331501746705374,0.06778979107883704,0.30238037072350454,60,Q2
P03,P19,0.8945056200027466,0.10549437999725342,0.45933493971824646,0.0161473652037481,0.08042976970360212,0.2503106617075113,60,Q4_farthest
