stratum,N_pairs,N_images,N_patients,mean_box_iou,selected_diff_mean,selected_diff_median,oracle_diff_mean,oracle_diff_median,mean_reduction,different_selected_idx_rate,fail_oracle_ge50_rate,fail_selection_gap_gt20_rate,selected_diff_ci_low,selected_diff_ci_high,oracle_diff_ci_low,oracle_diff_ci_high,reduction_ci_low,reduction_ci_high,oracle_ge50_ci_low,oracle_ge50_ci_high,selection_gap_gt20_ci_low,selection_gap_gt20_ci_high
<0.10,4520.0,115.0,81.0,0.003035281577322865,0.7678931743001706,0.8084976860229893,0.7936072007014205,0.8347131211160133,-0.025714026401249975,0.4557522123893805,0.00022123893805309734,0.0011061946902654867,0.7343635722923657,0.7995346813627635,0.763345002339596,0.8218148671991252,-0.035757936088638184,-0.017255112727806707,0.0,0.000762582613116421,0.0,0.0028755109393593012
0.10–0.25,253.0,19.0,18.0,0.17954149126990362,0.7658015730551205,0.8270844077506849,0.7866098342555256,0.8347431206404127,-0.020808261200404934,0.6798418972332015,0.0,0.007905138339920948,0.6413732349873335,0.8289527394262386,0.6998075364912507,0.8249726263817188,-0.07978222977124493,0.022145652490725847,0.0,0.0,0.0,0.04040404040404041
0.25–0.50,315.0,30.0,26.0,0.3865803201382733,0.6922504669799151,0.6555798795914846,0.5402555859624858,0.612195417626379,0.1519948810174293,0.4984126984126984,0.19047619047619047,0.3492063492063492,0.6379248561813116,0.7560440527673341,0.4041807232271259,0.6658325619162999,0.013049989545177922,0.33209533284703563,0.03664847725094019,0.40779243805839555,0.14237227818324386,0.5363858943212876
0.50–0.75,190.0,23.0,20.0,0.6061564254187326,0.7630713265381802,0.8066339843940737,0.24290642499460868,0.1207359373042736,0.5201649015435716,0.6736842105263158,0.631578947368421,0.7631578947368421,0.6283314548111496,0.8503793393358002,0.12581018881850858,0.45842380360940604,0.1861436199015891,0.7167582554300154,0.22137248154173447,0.8541109131351243,0.43332474226804124,0.9146761722983355
0.75–0.90,95.0,12.0,12.0,0.8316762378841054,0.6928704386612483,0.5827538247566064,0.23961952583587204,0.140265404615743,0.4532509128253759,0.7157894736842105,0.5473684210526316,0.8421052631578947,0.5751188640487945,0.8283066398259168,0.10472633006956117,0.39487203787383107,0.24376004478095384,0.6761478611490539,0.17647058823529413,0.9464345238095236,0.4827586206896552,1.0
≥0.90,25.0,6.0,6.0,0.9216145302733382,0.6797010936244567,0.6014396300768489,0.13028224211083467,0.0620157865513023,0.5494188515136219,0.96,0.88,1.0,0.5824379962132147,0.8035386864291582,0.04128825891305963,0.33088487440507247,0.3285359524831281,0.7430066429468366,0.5384615384615384,1.0,1.0,1.0
