alpha,n_raw_observations,corr_distance_from_A_mean,corr_distance_from_A_std,corr_distance_from_A_median,corr_distance_from_A_q25,corr_distance_from_A_q75,corr_distance_from_A_min,corr_distance_from_A_max,corr_distance_from_B_mean,corr_distance_from_B_std,corr_distance_from_B_median,corr_distance_from_B_q25,corr_distance_from_B_q75,corr_distance_from_B_min,corr_distance_from_B_max,heatmap_mae_from_A_mean,heatmap_mae_from_A_std,heatmap_mae_from_A_median,heatmap_mae_from_A_q25,heatmap_mae_from_A_q75,heatmap_mae_from_A_min,heatmap_mae_from_A_max,heatmap_mae_from_B_mean,heatmap_mae_from_B_std,heatmap_mae_from_B_median,heatmap_mae_from_B_q25,heatmap_mae_from_B_q75,heatmap_mae_from_B_min,heatmap_mae_from_B_max
0.0,1200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07856794406916254,0.06865919830158637,0.06250618671578324,0.03179272647926153,0.10132319518085132,0.0018602211960256,0.4407084788079196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013860699901523861,0.00790298274654983,0.01240405879765155,0.00809170732919655,0.017627833572542325,0.0012986535339992,0.0484577833148283
0.25,1200,0.006926698662082019,0.008299345990163833,0.00443851765239535,0.0020805527802092998,0.00802697692221415,4.911891876147045e-05,0.0694567710913266,0.0487310544343295,0.046882503759405156,0.0374639295635974,0.0176366462222577,0.06303244615818765,0.0009557010530273,0.3452363516910703,0.004112277957290101,0.0026705514744721558,0.003535574869392,0.002257158307247725,0.0051873225149026495,0.0002297499909081,0.0184880806844988,0.010859347573988055,0.006595178983537131,0.009628708399029,0.00608412872678415,0.013808137250760575,0.0010149351601281,0.0421839751086852
0.5,1200,0.025149205669929516,0.02607796977873359,0.0167838735137865,0.008348835628680575,0.0302430848366311,0.0003591078097522,0.1833255688829838,0.02308740571962113,0.023315193837838852,0.01690609320724715,0.008086530153890301,0.03036972410470775,0.0004851552976596,0.210706715771709,0.00786849123669418,0.004948799348612214,0.0067860619732137,0.0043848608605753245,0.0101092343711245,0.0004907857803533,0.0323553926329375,0.007488412201637672,0.004670591800324661,0.006420746456541,0.00426305791652705,0.009583759764251,0.0007742576431822,0.0318201064295383
0.75,1200,0.05109869525908231,0.04977092629759683,0.0365218646731085,0.0189633400644308,0.06382349487018138,0.0011735555772556,0.3109194321429379,0.005738253450740596,0.0057424746757187475,0.0041542242326015,0.001965266752748675,0.007341297354067025,0.0002019546475243,0.0470915041083984,0.011129943222966983,0.0066883603990722,0.009669798730549451,0.0063938464705604004,0.014367860305797175,0.0008366776879381,0.038477568664849,0.0037511598781047165,0.0023460184375202362,0.00323438545638945,0.002238970134343125,0.004536443891657025,0.0004108882519803,0.014438135849485
1.0,1200,0.07856794406916254,0.06865919830158637,0.06250618671578324,0.03179272647926153,0.10132319518085132,0.0018602211960256,0.4407084788079196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013860699901523861,0.00790298274654983,0.01240405879765155,0.00809170732919655,0.017627833572542325,0.0012986535339992,0.0484577833148283,0.0,0.0,0.0,0.0,0.0,0.0,0.0
