risk_region,n_cases,frozen_risk_mean,seed_instability_mean,language_instability_mean,language_minus_seed_mean,language_to_seed_ratio_mean,language_fraction_mean
MIDDLE,4,0.3227858962743671,0.13789623489498148,0.31179367213397496,0.17389743723899354,2.5330392576698717,0.7037005909331144
HIGH,4,0.6121782614677871,0.29813967638230404,0.6014456490318706,0.3033059726495666,2.284423861632832,0.6838083381623918
LOW,4,0.133240225711419,0.05155403911744649,0.14483609200120165,0.09328205288375514,2.642025935597336,0.7184757078482
