filename,risk_region,frozen_risk,prompt_id,seed_a,seed_b,box_iou,instability_1_minus_iou
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P06,34,45,1.0,0.0
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P06,34,56,0.9310344827586207,0.06896551724137934
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P06,45,56,0.9310344827586207,0.06896551724137934
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P07,12,23,0.9655172413793104,0.03448275862068961
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P07,12,34,1.0,0.0
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P07,12,45,0.9655172413793104,0.03448275862068961
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P07,12,56,1.0,0.0
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P07,23,34,0.9655172413793104,0.03448275862068961
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P07,23,45,1.0,0.0
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P07,23,56,0.9655172413793104,0.03448275862068961
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P07,34,45,0.9655172413793104,0.03448275862068961
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P07,34,56,1.0,0.0
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P07,45,56,0.9655172413793104,0.03448275862068961
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P08,12,23,1.0,0.0
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P08,12,34,1.0,0.0
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P08,12,45,0.9655172413793104,0.03448275862068961
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P08,12,56,1.0,0.0
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P08,23,34,1.0,0.0
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P08,23,45,0.9655172413793104,0.03448275862068961
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P08,23,56,1.0,0.0
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P08,34,45,0.9655172413793104,0.03448275862068961
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P08,34,56,1.0,0.0
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P08,45,56,0.9655172413793104,0.03448275862068961
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P09,12,23,1.0,0.0
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P09,12,34,1.0,0.0
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P09,12,45,1.0,0.0
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P09,12,56,1.0,0.0
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P09,23,34,1.0,0.0
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P09,23,45,1.0,0.0
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P09,23,56,1.0,0.0
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P09,34,45,1.0,0.0
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P09,34,56,1.0,0.0
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P09,45,56,1.0,0.0
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P10,12,23,1.0,0.0
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P10,12,34,1.0,0.0
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P10,12,45,1.0,0.0
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P10,12,56,1.0,0.0
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P10,23,34,1.0,0.0
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P10,23,45,1.0,0.0
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P10,23,56,1.0,0.0
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P10,34,45,1.0,0.0
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P10,34,56,1.0,0.0
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P10,45,56,1.0,0.0
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P11,12,23,1.0,0.0
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P11,12,34,1.0,0.0
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P11,12,45,0.9655172413793104,0.03448275862068961
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P11,12,56,0.9655172413793104,0.03448275862068961
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P11,23,34,1.0,0.0
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P11,23,45,0.9655172413793104,0.03448275862068961
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P11,23,56,0.9655172413793104,0.03448275862068961
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P11,34,45,0.9655172413793104,0.03448275862068961
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P11,34,56,0.9655172413793104,0.03448275862068961
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P11,45,56,1.0,0.0
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P12,12,23,0.9655172413793104,0.03448275862068961
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P12,12,34,0.9655172413793104,0.03448275862068961
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P12,12,45,0.9655172413793104,0.03448275862068961
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P12,12,56,0.9655172413793104,0.03448275862068961
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P12,23,34,1.0,0.0
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P12,23,45,1.0,0.0
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P12,23,56,1.0,0.0
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P12,34,45,1.0,0.0
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P12,34,56,1.0,0.0
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P12,45,56,1.0,0.0
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P13,12,23,0.9310344827586207,0.06896551724137934
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P13,12,34,1.0,0.0
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P13,12,45,0.9655172413793104,0.03448275862068961
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P13,12,56,1.0,0.0
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P13,23,34,0.9310344827586207,0.06896551724137934
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P13,23,45,0.901072705601907,0.098927294398093
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P13,23,56,0.9310344827586207,0.06896551724137934
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P13,34,45,0.9655172413793104,0.03448275862068961
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P13,34,56,1.0,0.0
464_pid-101127_meningioma.png,LOW,0.0317016557393043,P13,45,56,0.9655172413793104,0.03448275862068961
