filename,mean_pairwise_abs,prompt_range,prompt_min,prompt_max,prompt_oracle
benign_000001.png,0.002861574296409209,0.01737515695787495,0.9257666953281742,0.9431418522860492,0.9431418522860492
benign_000003.png,0.22280745338444347,0.563202570898767,0.3589672404219878,0.9221698113207548,0.9221698113207548
benign_000006.png,0.0014959391938050644,0.004134519304797912,0.9164021164021164,0.9205366357069144,0.9205366357069144
benign_000008.png,0.10401927300720903,0.9323536769100176,0.0048067294211896,0.9371604063312072,0.9371604063312072
benign_000009.png,0.3581065489857761,0.91272629019184,0.0,0.91272629019184,0.91272629019184
benign_000010.png,0.019760369751823447,0.05860041987830289,0.8314690529455631,0.890069472823866,0.890069472823866
benign_000011.png,0.07799391353880679,0.1980424960147696,0.4743678425947275,0.6724103386094971,0.6724103386094971
benign_000013.png,0.3324285635510364,0.9006668427351731,0.0087922258213789,0.909459068556552,0.909459068556552
benign_000016.png,0.001893770098062036,0.0046923305458868025,0.9311418254264724,0.9358341559723592,0.9358341559723592
benign_000017.png,0.0,0.0,0.0,0.0,0.0
benign_000019.png,0.0,0.0,0.0,0.0,0.0
benign_000020.png,0.476036565964047,0.9159733777038268,0.0,0.9159733777038268,0.9159733777038268
benign_000021.png,0.016100105825704213,0.15503950136640143,0.7085988924877233,0.8636383938541248,0.8636383938541248
benign_000022.png,0.08195459201979927,0.5116336736095539,0.4090677298224468,0.9207014034320008,0.9207014034320008
benign_000032.png,0.07668429054612638,0.18205773396025293,0.7552958363769174,0.9373535703371704,0.9373535703371704
benign_000033.png,0.0,0.0,0.0,0.0,0.0
benign_000035.png,0.26605108394890126,0.5295503168397284,0.3230393245945345,0.852589641434263,0.852589641434263
benign_000036.png,0.0,0.0,0.0,0.0,0.0
benign_000039.png,0.0321078147019561,0.0837959769500658,0.6554758045843946,0.7392717815344604,0.7392717815344604
benign_000040.png,0.06500713964740633,0.15994093490971462,0.7745504840940526,0.9344914190037672,0.9344914190037672
benign_000042.png,0.0,0.0,0.0,0.0,0.0
benign_000052.png,0.09352164964401498,0.5115180600947253,0.4374529012810851,0.9489709613758104,0.9489709613758104
benign_000056.png,0.007773557663160048,0.032167707170299153,0.7291714658680796,0.7613391730383787,0.7613391730383787
benign_000058.png,0.07114695431241048,0.2720596295078373,0.0,0.2720596295078373,0.2720596295078373
benign_000060.png,0.0036048898611419915,0.0120215771898278,0.0,0.0120215771898278,0.0120215771898278
benign_000063.png,0.10558361847330323,0.3595150002228859,0.0,0.3595150002228859,0.3595150002228859
benign_000065.png,0.4359817901818272,0.9105575326215896,0.0,0.9105575326215896,0.9105575326215896
benign_000068.png,0.30643766957396656,0.9309692258421404,0.0,0.9309692258421404,0.9309692258421404
benign_000069.png,0.0328840075125889,0.1169780666125101,0.0,0.1169780666125101,0.1169780666125101
benign_000071.png,0.22190278253917042,0.9024585071447592,0.0,0.9024585071447592,0.9024585071447592
benign_000072.png,0.2267548343751021,0.6604108017933479,0.0,0.6604108017933479,0.6604108017933479
benign_000074.png,0.0,0.0,0.0,0.0,0.0
benign_000075.png,0.06428866345832057,0.2989177222805173,0.0099730358659919,0.3088907581465092,0.3088907581465092
benign_000076.png,0.41308923891684274,0.7995534355018776,0.0,0.7995534355018776,0.7995534355018776
benign_000078.png,0.18148871757137716,0.9164743232433,0.0283723875870804,0.9448467108303804,0.9448467108303804
benign_000079.png,0.09227707006369426,0.9227707006369428,0.0,0.9227707006369428,0.9227707006369428
benign_000081.png,0.07053190693996293,0.679737678317896,0.0,0.679737678317896,0.679737678317896
benign_000082.png,0.04571161713358514,0.1650441131731062,0.0,0.1650441131731062,0.1650441131731062
benign_000083.png,0.009121483896965049,0.06820223947375792,0.8227663369547592,0.8909685764285171,0.8909685764285171
benign_000084.png,0.24406006998441374,0.7254200354105018,0.0,0.7254200354105018,0.7254200354105018
benign_000089.png,0.004850579839429079,0.0485057983942908,0.0,0.0485057983942908,0.0485057983942908
benign_000090.png,0.2809092352546513,0.8087489888788212,0.0054177953740362,0.8141667842528574,0.8141667842528574
benign_000092.png,0.0,0.0,0.0,0.0,0.0
benign_000096.png,0.051957651396021244,0.19368888229895076,0.7136318242343542,0.907320706533305,0.907320706533305
benign_000097.png,0.33715391923251536,0.9570180547466512,0.0,0.9570180547466512,0.9570180547466512
benign_000101.png,0.0,0.0,0.0,0.0,0.0
benign_000102.png,0.00227958141514851,0.017429734243115558,0.8990457751348361,0.9164755093779516,0.9164755093779516
benign_000103.png,0.016027715528964894,0.1027615222687358,0.7945696721311475,0.8973311943998833,0.8973311943998833
benign_000105.png,0.036611765228928596,0.09267100637435821,0.8207756705962754,0.9134466769706336,0.9134466769706336
benign_000106.png,0.0015752937254680814,0.006396263470471952,0.8034591194968553,0.8098553829673273,0.8098553829673273
benign_000107.png,0.2613147458287012,0.8248652368390871,0.0,0.8248652368390871,0.8248652368390871
benign_000108.png,0.15803420807009055,0.9050481639747954,0.0,0.9050481639747954,0.9050481639747954
benign_000112.png,0.0,0.0,0.0,0.0,0.0
benign_000113.png,0.14604463359195582,0.36416592672697,0.55788876276958,0.92205468949655,0.92205468949655
benign_000114.png,0.012163678835179378,0.028752032709893682,0.8650927487352446,0.8938447814451382,0.8938447814451382
benign_000115.png,0.4008523908559271,0.9177572082136396,0.0,0.9177572082136396,0.9177572082136396
benign_000117.png,0.15594737615137888,0.9272396543883584,0.0,0.9272396543883584,0.9272396543883584
benign_000119.png,0.005623310938161223,0.018942885127065212,0.9186874240407432,0.9376303091678084,0.9376303091678084
benign_000121.png,0.002873568020410555,0.010615724528931003,0.9352176088044022,0.9458333333333332,0.9458333333333332
benign_000122.png,0.013523438418055382,0.12852614949585173,0.8378343621399177,0.9663605116357694,0.9663605116357694
benign_000123.png,0.01323284241727414,0.0439488356838307,0.0,0.0439488356838307,0.0439488356838307
benign_000126.png,0.123152385455943,0.9449038891372372,0.0,0.9449038891372372,0.9449038891372372
benign_000127.png,0.008749744566622518,0.0293759141882008,0.0,0.0293759141882008,0.0293759141882008
benign_000129.png,0.12371781449662009,0.9498968362414113,0.0189205955334987,0.96881743177491,0.96881743177491
benign_000130.png,0.11780437625895619,0.2895766631092138,0.0,0.2895766631092138,0.2895766631092138
malignant_000023.png,0.41027129056499756,0.8103844889911271,0.0,0.8103844889911271,0.8103844889911271
malignant_000024.png,0.11664584791597156,0.32426762075189747,0.4136709757393306,0.7379385964912281,0.7379385964912281
malignant_000028.png,0.30053806628170787,0.9599373776908025,0.0,0.9599373776908025,0.9599373776908025
malignant_000029.png,0.13687728580448766,0.4473989332921079,0.0,0.4473989332921079,0.4473989332921079
malignant_000041.png,0.10733108474298361,0.5966317072109317,0.0,0.5966317072109317,0.5966317072109317
malignant_000045.png,0.2269997839086298,0.5251404130590897,0.0028749401054144,0.5280153531645041,0.5280153531645041
