case,mean_pairwise_box_iou,risk_1_minus_mean_pairwise_iou
100,0.8816402909348586,0.11835970906514137
1004,0.8596562295053674,0.14034377049463265
1007,0.8983307904254455,0.1016692095745545
1008,0.9412462812525493,0.05875371874745072
1011,0.8586169447799429,0.14138305522005712
1015,0.9399041535633414,0.06009584643665855
1016,0.915425321643809,0.08457467835619104
102,0.8853551639738005,0.11464483602619946
1023,0.9027472137625862,0.09725278623741385
1027,0.8687677697119585,0.13123223028804154
1029,0.6666666666666666,0.33333333333333337
1031,0.6348206655019972,0.36517933449800277
1035,0.9233956959816972,0.07660430401830276
1037,0.940197561775623,0.05980243822437703
1039,0.8754943258051305,0.12450567419486946
1040,0.8627543826485622,0.1372456173514378
1041,0.831353805306008,0.168646194693992
1047,0.9488944277393482,0.05110557226065182
1053,0.9328964395165773,0.0671035604834227
1054,0.7683555596297945,0.23164444037020548
1057,0.8910832300413888,0.10891676995861121
1060,0.8958324876359784,0.10416751236402155
1061,0.7570070006067218,0.24299299939327823
1069,0.8889702406446877,0.11102975935531234
1072,0.8859688504567779,0.11403114954322213
1073,0.6789784741795498,0.3210215258204502
1074,0.8395772780963013,0.16042272190369866
1078,0.9409476842747065,0.05905231572529346
108,0.932782975463878,0.067217024536122
1084,0.9286827208912708,0.0713172791087292
1085,0.9431187243741624,0.05688127562583756
1089,0.9487326467219063,0.05126735327809373
1092,0.9809617918313569,0.0190382081686431
1093,0.8399489626977024,0.16005103730229764
1096,0.8637490104662692,0.13625098953373083
1103,0.9037297216542406,0.09627027834575941
1107,0.9140597758328061,0.08594022416719393
1111,0.6291666666666667,0.37083333333333335
1113,0.8619655899998175,0.13803441000018246
1114,0.943095834825158,0.05690416517484198
1118,0.9146031786286495,0.08539682137135052
1120,0.9368470123357664,0.0631529876642336
1123,0.8525456223645327,0.14745437763546732
1124,0.7219189108894992,0.2780810891105008
1125,0.9159410482646775,0.08405895173532252
1126,0.9243619269403068,0.07563807305969317
1130,0.8939924572067428,0.10600754279325719
1134,0.9114698178121823,0.08853018218781772
1137,0.8513009854594242,0.14869901454057577
1138,0.90226883473248,0.09773116526752001
114,0.8880353306823896,0.1119646693176104
1140,0.9488383119962069,0.05116168800379306
1144,0.9785764622973925,0.02142353770260752
1146,0.9593198131700912,0.040680186829908815
1148,0.885658914728682,0.11434108527131803
1149,0.8462639182563431,0.15373608174365694
1150,0.8246801140399529,0.1753198859600471
1156,0.8777067298893588,0.12229327011064117
1160,0.6180393811769558,0.3819606188230442
1163,0.9334275376028759,0.06657246239712411
1165,0.7607381979445549,0.23926180205544512
1169,0.9389704764277821,0.061029523572217914
117,0.941918429271234,0.05808157072876596
1170,0.8175601925412341,0.18243980745876587
1177,0.7629379317383709,0.23706206826162912
1178,0.9631150211795371,0.03688497882046293
1179,0.8406382595168164,0.15936174048318363
1189,1.0,0.0
1192,0.8374068293259741,0.1625931706740259
121,0.6999238316831744,0.3000761683168256
1211,0.9099266955489392,0.09007330445106076
122,0.8857182163104816,0.11428178368951836
1223,0.6345198644780485,0.36548013552195147
1225,0.8696900034831069,0.13030999651689312
1239,0.8661510373893171,0.1338489626106829
124,0.847676004406753,0.15232399559324705
1241,0.9735486514076939,0.026451348592306134
1243,0.9671486837226547,0.03285131627734528
1246,1.0,0.0
1247,0.9929078014184398,0.007092198581560183
1248,0.9346768762897796,0.06532312371022042
1249,0.9368032484311555,0.06319675156884452
1250,0.9426028921023359,0.05739710789766406
1251,0.9822222222222223,0.01777777777777767
1252,0.9880952380952379,0.011904761904762085
1253,0.9671486837226547,0.03285131627734528
1254,0.8677693059628542,0.13223069403714582
1267,0.6129911548820824,0.38700884511791755
1273,0.6666666666666666,0.33333333333333337
1279,0.9116980621862584,0.08830193781374163
128,0.7931998858580085,0.2068001141419915
1280,0.2949684914768744,0.7050315085231256
1281,0.8592063820656749,0.1407936179343251
1282,0.9745374545021424,0.025462545497857647
1283,0.7538880275624462,0.24611197243755378
1293,0.9078410488656079,0.0921589511343921
13,0.8171848582396236,0.1828151417603764
1309,0.9458014931927975,0.05419850680720251
131,0.9490260507124199,0.050973949287580145
1326,0.9263888888888889,0.07361111111111107
1331,0.3801793516560958,0.6198206483439042
1333,0.9418194037145649,0.05818059628543515
1334,0.9512195121951219,0.04878048780487809
1341,0.9316291296982578,0.06837087030174216
1345,0.9657912457912459,0.03420875420875413
1346,0.6089878375592661,0.3910121624407339
1353,0.7777375645635595,0.22226243543644053
1355,0.9777777777777779,0.022222222222222143
1361,0.5229122059600492,0.47708779403995083
1364,0.9822222222222223,0.01777777777777767
1365,0.7156774479971465,0.2843225520028535
1367,0.9380952380952381,0.06190476190476191
