reject_fraction,n_rejected,n_retained,coverage,retained_H0_mean_dice,retained_H0_median_dice,retained_H0_failure_rate_lt_.10,retained_catastrophic_rate,rejected_H0_failure_rate_lt_.10,rejected_catastrophic_rate
0.05,30,570,0.95,0.7669926619005968,0.8251756907166026,0.021052631578947368,0.0456140350877193,0.26666666666666666,0.4
0.1,60,540,0.9,0.7696416298050496,0.8257921925218757,0.020370370370370372,0.024074074074074074,0.15,0.4166666666666667
0.2,120,480,0.8,0.7786284652871305,0.8307628935110345,0.014583333333333334,0.0125,0.10833333333333334,0.26666666666666666
0.3,180,420,0.7,0.7804123377958476,0.8383697911183521,0.016666666666666666,0.014285714285714285,0.07222222222222222,0.17777777777777778
0.4,240,360,0.6,0.7875289031072318,0.8407832077420334,0.011111111111111112,0.008333333333333333,0.06666666666666667,0.14583333333333334
0.5,300,300,0.5,0.786162224477645,0.8439069433348536,0.013333333333333334,0.0033333333333333335,0.05333333333333334,0.12333333333333334
