condition,n,mean_dice,median_dice,std_dice,dice_lt_010,dice_ge_050,dice_ge_070,dice_ge_080
H0,600,0.7538302084084627,0.8195112485642075,0.20814301395818322,0.03333333333333333,0.905,0.7066666666666667,0.5366666666666666
H1,600,0.7513258510151373,0.8167766024468743,0.2064921210681695,0.03,0.905,0.7,0.5333333333333333
H2,600,0.7472622048678275,0.810976250073853,0.21108286742760454,0.03333333333333333,0.905,0.685,0.5283333333333333
L3,600,0.7409725776419355,0.8106670101763848,0.21908952830395306,0.041666666666666664,0.8983333333333333,0.69,0.5216666666666666
L4,600,0.7229307495244611,0.7903228850084929,0.23720389138454548,0.05333333333333334,0.8683333333333333,0.6733333333333333,0.49
L5,600,0.7150533937457682,0.786792112206069,0.24698078860593306,0.065,0.8666666666666667,0.655,0.48333333333333334
