condition,n,mean_abs_delta,median_abs_delta,mean_signed_delta,abs_gt_010,abs_gt_020,abs_gt_050,failure_success_switch,mean_box_iou_H0,median_box_iou_H0,pearson_boxiou_absdelta,spearman_boxiou_absdelta
H1,600,0.020296254895498533,0.00041773747956602714,-0.0025043573933253927,0.041666666666666664,0.025,0.006666666666666667,0.006666666666666667,0.9504437288724629,0.9767441860465116,-0.5075906257067438,-0.8078609093821304
H2,600,0.029997069468885803,0.0017017858738155034,-0.006568003540635258,0.07166666666666667,0.03833333333333333,0.011666666666666667,0.01,0.911021660787687,0.9533328148090534,-0.6403174384907377,-0.7475560656532171
L3,600,0.03359567082498239,0.0022521924725145714,-0.012857630766527196,0.075,0.03833333333333333,0.016666666666666666,0.016666666666666666,0.9014466644094078,0.9367086678231513,-0.5650962029631084,-0.6658637090786318
L4,600,0.0801107952993027,0.009515132690111672,-0.030899458884001613,0.19166666666666668,0.11833333333333333,0.041666666666666664,0.035,0.8011152436258396,0.8597018318825516,-0.6703520111632013,-0.6172843251813058
L5,600,0.07243626524738853,0.008815146396789875,-0.03877681466269454,0.17333333333333334,0.10166666666666667,0.041666666666666664,0.03333333333333333,0.8158974213651594,0.8802487135828363,-0.6635771674050023,-0.6449457725802086
