lesion_size_quartile,n,median_area_px,median_fraction,mean_range,median_range,mean_pairwise_abs,range_gt_010,range_gt_020,range_gt_050
Q1_smallest,150,1308.5,0.0050678253173828125,0.1354817442865022,0.035922130547857506,0.057628359191686775,0.32,0.19333333333333333,0.09333333333333334
Q2,150,2195.5,0.008375167846679688,0.14264202306486284,0.0191557973253471,0.060513756254657734,0.29333333333333333,0.21333333333333335,0.1
Q3,150,3761.5,0.014348983764648438,0.09945785492032325,0.0299146648516087,0.040164220724924184,0.2733333333333333,0.17333333333333334,0.04
Q4_largest,150,7319.5,0.027921676635742188,0.15390467327304896,0.0787097749631285,0.06507330155133635,0.44,0.23333333333333334,0.08666666666666667
