predictor,outcome,spearman_rho,nominal_p,ci_low,ci_high,n_boot,seed
lesion_area_px,range_H0_L5,0.11278281778192834,0.005680572677056764,0.03302792877100174,0.19270508921414925,10000.0,42.0
lesion_area_px,mean_pairwise_abs,0.11294631912854539,0.005610678653606529,0.03325894661046065,0.1929770824949678,10000.0,42.0
lesion_fraction,range_H0_L5,0.114830834649645,0.004859162534708318,0.035041574431797805,0.19422551327291485,10000.0,42.0
lesion_fraction,mean_pairwise_abs,0.11446994278840675,0.004995630557974411,0.03451185174556284,0.1942757908966504,10000.0,42.0
