range_threshold,n_vulnerable,fraction_vulnerable,median_area_vulnerable,median_area_other,median_fraction_vulnerable,median_fraction_other
0.1,199,0.33166666666666667,3285.0,2772.0,0.012531280517578125,0.0105743408203125
0.2,122,0.20333333333333334,2908.0,2917.5,0.0110931396484375,0.0112457275390625
0.5,48,0.08,2193.5,2991.0,0.008367538452148438,0.011423110961914062
